2024-09-15 18:52:04: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:04: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:52:04: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:04: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:04: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:52:04: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:04: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:04: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:52:04: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:04: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:52:04: Detected class: stop sign, Confidence: 0.96, Check: 1
2024-09-15 18:52:04: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:52:04: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:04: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:52:04: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:04: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:52:04: Detected class: stop sign, Confidence: 0.94, Check: 1
2024-09-15 18:52:04: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.94, Check: 1
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.94, Check: 1
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.94, Check: 1
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.94, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.96, Check: 1
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.96, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 2
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 1
2024-09-15 18:52:05: Detected class: stop sign, Confidence: 0.95, Check: 2
